name,version,variant,arch,os,filename,date,size,checksum
nginx,1.28.1,,aarch64,linux,nginx-1.28.1-aarch64-linux,2026-01-10T01:34:47Z,6420056,sha1:0d90cc7d68c7d41a2f3fa0b56251e90852f17dee
nginx,1.28.1,,arm64,darwin,nginx-1.28.1-arm64-darwin,2026-01-10T01:34:47Z,6381368,sha1:f0ee6970cc092d7a4348506195f75eef71cf840e
nginx,1.28.1,,x86_64,linux,nginx-1.28.1-x86_64-linux,2026-01-10T01:34:47Z,6795840,sha1:8463ac89813f61cb8b6f879275ca84510defcc85
nginx,1.28.1,,x86_64,win32,nginx-1.28.1-x86_64-win32.exe,2026-01-10T01:34:47Z,4974592,sha1:c7e30438507319905ac030747bfd40d62cc64e55
nginx,1.29.4,,aarch64,linux,nginx-1.29.4-aarch64-linux,2026-01-10T01:34:47Z,6421544,sha1:aad2dfca1b2a19bfc00eb5329df40620ca8ee309
nginx,1.29.4,,arm64,darwin,nginx-1.29.4-arm64-darwin,2026-01-10T01:34:47Z,6415352,sha1:8d66c6c44db9518fb3aa1644279ca507ffc1a844
nginx,1.29.4,,x86_64,linux,nginx-1.29.4-x86_64-linux,2026-01-10T01:34:47Z,6826048,sha1:c648b7508305e390e4bf8c8fc7db7e2fbb110940
nginx,1.29.4,,x86_64,win32,nginx-1.29.4-x86_64-win32.exe,2026-01-10T01:34:47Z,5006336,sha1:d6109724a171f4a7200c434a278f8d7fff026a03
njs,0.9.4,,aarch64,linux,njs-0.9.4-aarch64-linux,2026-01-10T01:34:47Z,4721160,sha1:c32470f7219131554a6395e10aa0fbf511ed693d
njs,0.9.4,,arm64,darwin,njs-0.9.4-arm64-darwin,2026-01-10T01:34:47Z,4654624,sha1:0e62e83de54d4efd196041548de44cb76eb08ed3
njs,0.9.4,debug,aarch64,linux,njs-0.9.4-debug-aarch64-linux,2026-01-10T01:34:47Z,17767272,sha1:67043d0bfe2eacbbed0a0b7d6f5f3f8266de782d
njs,0.9.4,debug,arm64,darwin,njs-0.9.4-debug-arm64-darwin,2026-01-10T01:34:47Z,5660016,sha1:2d942b1e4a72315c784421b34a8e96bcf21585dc
njs,0.9.4,debug,x86_64,linux,njs-0.9.4-debug-x86_64-linux,2026-01-10T01:34:47Z,18284104,sha1:e302037774182d7fdb9596a926a3ec51e68a476d
njs,0.9.4,,x86_64,linux,njs-0.9.4-x86_64-linux,2026-01-10T01:34:47Z,5113152,sha1:64384d8f1a11cf5d6261b11dbae0c30c408086ea
